Handle,Title,Status,Published,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy
alkaram-3-pc-embroidered-cotton-silk-suit-with-organza-dupatta-fc-12e-25-lime-green,Alkaram · Ladies Unstitched Embroidered 3 piece,active,TRUE,KJC-LU-ALK-10043,shopify,5,deny
alkaram-3-piece-printed-lawn-suit-with-printed-chiffon-dupatta-ss-10-25-1-black,Alkaram · Ladies Unstitched Printed Lawn 3 piece,active,TRUE,KJC-LU-ALK-10044,shopify,5,deny
alkaram-3-piece-printed-lawn-suit-with-printed-chiffon-dupatta-ss-9-25-1-green,Alkaram · Ladies Unstitched Printed Lawn 3 piece,active,TRUE,KJC-LU-ALK-10045,shopify,5,deny
alkaram-rts-shirt-trouser-dupatta-ccb-12-26-purple,Alkaram · Ladies Unstitched 3 piece,active,TRUE,KJC-LU-ALK-10046,shopify,5,deny
alkaram-rts-shirt-trouser-dupatta-ccb-11-26-sea-green,Alkaram · Ladies Unstitched 3 piece,active,TRUE,KJC-LU-ALK-10047,shopify,5,deny
alkaram-rts-shirt-trouser-dupatta-ccb-10-26-green,Alkaram · Ladies Unstitched 3 piece,active,TRUE,KJC-LU-ALK-10048,shopify,5,deny
alkaram-rts-shirt-trouser-dupatta-ccb-09-26-lilac,Alkaram · Ladies Unstitched 3 piece,active,TRUE,KJC-LU-ALK-10049,shopify,5,deny
alkaram-rts-shirt-trouser-dupatta-ccb-07-26-black,Alkaram · Ladies Unstitched 3 piece,active,TRUE,KJC-LU-ALK-10050,shopify,5,deny
alkaram-rts-shirt-trouser-dupatta-ccb-06-26-blue,Alkaram · Ladies Unstitched 3 piece,active,TRUE,KJC-LU-ALK-10051,shopify,5,deny
alkaram-rts-shirt-trouser-dupatta-ccb-05-26-sand,Alkaram · Ladies Unstitched 3 piece,active,TRUE,KJC-LU-ALK-10052,shopify,5,deny
alkaram-rts-shirt-trouser-dupatta-ccb-04-26-offwhite,Alkaram · Ladies Unstitched 3 piece,active,TRUE,KJC-LU-ALK-10053,shopify,5,deny
alkaram-rts-shirt-trouser-dupatta-ccb-03-26-orange,Alkaram · Ladies Unstitched 3 piece,active,TRUE,KJC-LU-ALK-10054,shopify,5,deny
alkaram-rts-shirt-trouser-dupatta-ccb-02-26-grey,Alkaram · Ladies Unstitched 3 piece,active,TRUE,KJC-LU-ALK-10055,shopify,5,deny
alkaram-rts-shirt-trouser-dupatta-ccb-01-26-pink,Alkaram · Ladies Unstitched 3 piece,active,TRUE,KJC-LU-ALK-10056,shopify,5,deny
alkaram-rts-shirt-trouser-dupatta-m-14-26-peach,Alkaram · Ladies Unstitched 3 piece,active,TRUE,KJC-LU-ALK-10057,shopify,5,deny
alkaram-rts-shirt-trouser-dupatta-m-12-26-siege,Alkaram · Ladies Unstitched 3 piece,active,TRUE,KJC-LU-ALK-10058,shopify,5,deny
alkaram-rts-shirt-trouser-dupatta-m-11-26-fawn,Alkaram · Ladies Unstitched 3 piece,active,TRUE,KJC-LU-ALK-10059,shopify,5,deny
alkaram-rts-shirt-trouser-dupatta-m-09-26-off-white,Alkaram · Ladies Unstitched 3 piece,active,TRUE,KJC-LU-ALK-10060,shopify,5,deny
alkaram-rts-shirt-trouser-dupatta-m-08-26-yellow,Alkaram · Ladies Unstitched 3 piece,active,TRUE,KJC-LU-ALK-10061,shopify,5,deny
alkaram-rts-shirt-trouser-dupatta-m-07-26-off-white,Alkaram · Ladies Unstitched 3 piece,active,TRUE,KJC-LU-ALK-10062,shopify,5,deny
alkaram-rts-shirt-trouser-dupatta-m-06-26-sky-blue,Alkaram · Ladies Unstitched 3 piece,active,TRUE,KJC-LU-ALK-10063,shopify,5,deny
alkaram-rts-shirt-trouser-dupatta-m-05-26-peach,Alkaram · Ladies Unstitched 3 piece,active,TRUE,KJC-LU-ALK-10064,shopify,5,deny
alkaram-rts-shirt-trouser-dupatta-caj-02-26-peach,Alkaram · Ladies Unstitched Jacquard Jacquard 3 piece,active,TRUE,KJC-LU-ALK-10065,shopify,5,deny
alkaram-rts-shirt-trouser-dupatta-caj-07-26-green,Alkaram · Ladies Unstitched Jacquard Jacquard 3 piece,active,TRUE,KJC-LU-ALK-10066,shopify,5,deny
alkaram-rts-shirt-trouser-dupatta-caap-11-26-off-white,Alkaram · Ladies Unstitched 3 piece,active,TRUE,KJC-LU-ALK-10067,shopify,5,deny
alkaram-rts-shirt-trouser-dupatta-caap-10-26-cream,Alkaram · Ladies Unstitched 3 piece,active,TRUE,KJC-LU-ALK-10068,shopify,5,deny
alkaram-rts-shirt-trouser-dupatta-caap-09-26-navy-blue,Alkaram · Ladies Unstitched 3 piece,active,TRUE,KJC-LU-ALK-10069,shopify,5,deny
alkaram-rts-shirt-trouser-dupatta-caap-08-26-black,Alkaram · Ladies Unstitched 3 piece,active,TRUE,KJC-LU-ALK-10070,shopify,5,deny
alkaram-rts-shirt-trouser-dupatta-caap-06-26-mustard,Alkaram · Ladies Unstitched 3 piece,active,TRUE,KJC-LU-ALK-10071,shopify,5,deny
alkaram-rts-shirt-trouser-dupatta-caap-04-26-lime-yellow,Alkaram · Ladies Unstitched 3 piece,active,TRUE,KJC-LU-ALK-10072,shopify,5,deny
alkaram-rts-shirt-trouser-dupatta-caap-03-26-red,Alkaram · Ladies Unstitched 3 piece,active,TRUE,KJC-LU-ALK-10073,shopify,5,deny
alkaram-rts-shirt-trouser-dupatta-caap-02-26-black,Alkaram · Ladies Unstitched 3 piece,active,TRUE,KJC-LU-ALK-10074,shopify,5,deny
alkaram-rts-shirt-trouser-dupatta-caap-01-26-beige,Alkaram · Ladies Unstitched 3 piece,active,TRUE,KJC-LU-ALK-10075,shopify,5,deny
alkaram-rts-shirt-trouser-dupatta-caw-11-26-off-white,Alkaram · Ladies Unstitched 3 piece,active,TRUE,KJC-LU-ALK-10076,shopify,5,deny
alkaram-rts-shirt-trouser-dupatta-caw-10-26-white,Alkaram · Ladies Unstitched 3 piece,active,TRUE,KJC-LU-ALK-10077,shopify,5,deny
alkaram-rts-shirt-trouser-dupatta-caw-08-26-off-white,Alkaram · Ladies Unstitched 3 piece,active,TRUE,KJC-LU-ALK-10078,shopify,5,deny
alkaram-rts-shirt-trouser-dupatta-caw-07-26-white,Alkaram · Ladies Unstitched 3 piece,active,TRUE,KJC-LU-ALK-10079,shopify,5,deny
alkaram-rts-shirt-trouser-dupatta-caw-03-26-white,Alkaram · Ladies Unstitched 3 piece,active,TRUE,KJC-LU-ALK-10080,shopify,5,deny
alkaram-rts-shirt-trouser-dupatta-m-30-25-3-ochre,Alkaram · Ladies Unstitched Formal 3 piece,active,TRUE,KJC-LU-ALK-10081,shopify,5,deny
alkaram-rts-shirt-trouser-dupatta-m-29-25-3-pale-blue,Alkaram · Ladies Unstitched Formal 3 piece,active,TRUE,KJC-LU-ALK-10082,shopify,5,deny
alkaram-rts-shirt-trouser-dupatta-m-21-25-3-off-white,Alkaram · Ladies Unstitched Formal 3 piece,active,TRUE,KJC-LU-ALK-10083,shopify,5,deny
alkaram-rts-shirt-trouser-cs-10-25-yellow,Alkaram · Ladies Unstitched Formal 2 piece,active,TRUE,KJC-LU-ALK-10084,shopify,5,deny
alkaram-rts-shirt-trouser-cs-09-25-pink,Alkaram · Ladies Unstitched Formal 2 piece,active,TRUE,KJC-LU-ALK-10085,shopify,5,deny
alkaram-rts-shirt-trouser-dupatta-cs-05-25-blue,Alkaram · Ladies Unstitched Formal 3 piece,active,TRUE,KJC-LU-ALK-10086,shopify,5,deny
alkaram-shirt-trouser-dupatta-sk-08-25-periwinkle,Alkaram · Ladies Unstitched Formal Silk 3 piece,active,TRUE,KJC-LU-ALK-10087,shopify,5,deny
alkaram-shirt-trouser-j-21-25-2-green,Alkaram · Ladies Unstitched Jacquard Jacquard 2 piece,active,TRUE,KJC-LU-ALK-10088,shopify,5,deny
alkaram-shirt-trouser-dupatta-j-16-25-2-cream,Alkaram · Ladies Unstitched Jacquard Jacquard 3 piece,active,TRUE,KJC-LU-ALK-10089,shopify,5,deny
alkaram-rts-shirt-trouser-dupatta-wcs-10-25-mint-green,Alkaram · Ladies Unstitched Embroidered 3 piece,active,TRUE,KJC-LU-ALK-10090,shopify,5,deny
alkaram-2-piece-dyed-jacquard-suit-with-dyed-cambric-trouser-j-10-25-1-white,Alkaram · Ladies Unstitched Printed Jacquard 2 piece,active,TRUE,KJC-LU-ALK-10091,shopify,5,deny
alkaram-3-piece-dyed-jacquard-suit-with-dyed-jacquard-dupatta-j-07-25-1-green,Alkaram · Ladies Unstitched Printed Jacquard 3 piece,active,TRUE,KJC-LU-ALK-10092,shopify,5,deny
alkaram-3-piece-dyed-jacquard-suit-with-dyed-jacquard-dupatta-j-03-25-1-yellow,Alkaram · Ladies Unstitched Printed Jacquard 3 piece,active,TRUE,KJC-LU-ALK-10093,shopify,5,deny
alkaram-3-piece-embroidered-dyed-velvet-shirt-with-embroidered-mesuri-silk-dupatta-vc-06b-24-green,Alkaram · Ladies Unstitched Embroidered Velvet 3 piece,active,TRUE,KJC-LU-ALK-10094,shopify,5,deny
alkaram-3-pc-jacquard-suit-with-jacquard-dupatta-jc-03-24-sky-blue,Alkaram · Ladies Unstitched Embroidered Jacquard 3 piece,active,TRUE,KJC-LU-ALK-10095,shopify,5,deny
alkaram-3-pc-shamery-jacquard-suit-with-shamery-jacquard-dupatta-jc-10-23-5-grey,Alkaram · Ladies Unstitched Embroidered Jacquard 3 piece,active,TRUE,KJC-LU-ALK-10096,shopify,5,deny
alkaram-3-pc-jacquard-suit-with-shawl-jc-16-23-4-black,Alkaram · Ladies Unstitched Embroidered Jacquard 3 piece,active,TRUE,KJC-LU-ALK-10097,shopify,5,deny
alkaram-3-pc-embroidered-lawn-suit-with-chiffon-dyed-dupatta-ed-06a-23-grey,Alkaram · Ladies Unstitched Embroidered 3 piece,active,TRUE,KJC-LU-ALK-10098,shopify,5,deny
