Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status,Metafield: custom.by_fabric [single_line_text_field],Metafield: custom.by_pieces [single_line_text_field],Metafield: custom.by_type [single_line_text_field],Metafield: custom.by_color [single_line_text_field],_title_branded,_title_whitelabel,_source_brand,_source_url,_in_stock_at_source
alkaram-rts-shirt-trouser-dupatta-ms185-3p26-purple,Alkaram · Ladies Unstitched 3 piece,,Alkaram,Ladies Unstitched,"brand:Alkaram, gender:ladies, unstitched, pieces:3, colour:Purple",FALSE,Title,Default Title,KJC-LU-ALK-10301,shopify,0,deny,manual,3990.00,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0623/6481/1444/files/MS-185-26-Purple-1.jpg?v=1768386532,1,Ladies Unstitched 3 piece,draft,,3 piece,,Purple,Alkaram · Ladies Unstitched 3 piece,Ladies Unstitched 3 piece,Alkaram,https://alkaramstudio.com/products/rts-shirt-trouser-dupatta-ms185-3p26-purple,yes
alkaram-rts-shirt-trouser-dupatta-ms-177-26-off-white,Alkaram · Ladies Unstitched 3 piece,,Alkaram,Ladies Unstitched,"brand:Alkaram, gender:ladies, unstitched, pieces:3",FALSE,Title,Default Title,KJC-LU-ALK-10302,shopify,0,deny,manual,5390.00,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0623/6481/1444/files/MS-177-26-OffWhite-1_jpg.jpg?v=1783929821,1,Ladies Unstitched 3 piece,draft,,3 piece,,,Alkaram · Ladies Unstitched 3 piece,Ladies Unstitched 3 piece,Alkaram,https://alkaramstudio.com/products/rts-shirt-trouser-dupatta-ms-177-26-off-white,yes
alkaram-rts-shirt-trouser-dupatta-ms-ms157-3p26-peach,Alkaram · Ladies Unstitched 3 piece,,Alkaram,Ladies Unstitched,"brand:Alkaram, gender:ladies, unstitched, pieces:3",FALSE,Title,Default Title,KJC-LU-ALK-10303,shopify,0,deny,manual,3990.00,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0623/6481/1444/files/MS-157.1-26-Peach-1.jpg?v=1768386424,1,Ladies Unstitched 3 piece,draft,,3 piece,,,Alkaram · Ladies Unstitched 3 piece,Ladies Unstitched 3 piece,Alkaram,https://alkaramstudio.com/products/rts-shirt-trouser-dupatta-ms-ms157-3p26-peach,yes
alkaram-rts-shirt-trouser-dupatta-ms154-3p36-black,Alkaram · Ladies Unstitched 3 piece,,Alkaram,Ladies Unstitched,"brand:Alkaram, gender:ladies, unstitched, pieces:3",FALSE,Title,Default Title,KJC-LU-ALK-10304,shopify,0,deny,manual,3990.00,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0623/6481/1444/files/MS-154.1-26-Grey-1.jpg?v=1768386409,1,Ladies Unstitched 3 piece,draft,,3 piece,,,Alkaram · Ladies Unstitched 3 piece,Ladies Unstitched 3 piece,Alkaram,https://alkaramstudio.com/products/rts-shirt-trouser-dupatta-ms154-3p36-black,yes
alkaram-rts-shirt-trouser-dupatta-ms153-3p26-brown,Alkaram · Ladies Unstitched 3 piece,,Alkaram,Ladies Unstitched,"brand:Alkaram, gender:ladies, unstitched, pieces:3",FALSE,Title,Default Title,KJC-LU-ALK-10305,shopify,0,deny,manual,3990.00,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0623/6481/1444/files/MS-153.1-26-Brown-1.jpg?v=1768386399,1,Ladies Unstitched 3 piece,draft,,3 piece,,,Alkaram · Ladies Unstitched 3 piece,Ladies Unstitched 3 piece,Alkaram,https://alkaramstudio.com/products/rts-shirt-trouser-dupatta-ms153-3p26-brown,yes
alkaram-rts-shirt-trouser-dupatta-ms152-3p26-red,Alkaram · Ladies Unstitched 3 piece,,Alkaram,Ladies Unstitched,"brand:Alkaram, gender:ladies, unstitched, pieces:3",FALSE,Title,Default Title,KJC-LU-ALK-10306,shopify,0,deny,manual,3990.00,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0623/6481/1444/files/MS-152.1-26-Red-1.jpg?v=1768386367,1,Ladies Unstitched 3 piece,draft,,3 piece,,,Alkaram · Ladies Unstitched 3 piece,Ladies Unstitched 3 piece,Alkaram,https://alkaramstudio.com/products/rts-shirt-trouser-dupatta-ms152-3p26-red,yes
alkaram-rts-shirt-trouser-dupatta-ms150-3p26-green,Alkaram · Ladies Unstitched 3 piece,,Alkaram,Ladies Unstitched,"brand:Alkaram, gender:ladies, unstitched, pieces:3",FALSE,Title,Default Title,KJC-LU-ALK-10307,shopify,0,deny,manual,3990.00,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0623/6481/1444/files/MS-150.1-26-Green-1.jpg?v=1768386337,1,Ladies Unstitched 3 piece,draft,,3 piece,,,Alkaram · Ladies Unstitched 3 piece,Ladies Unstitched 3 piece,Alkaram,https://alkaramstudio.com/products/rts-shirt-trouser-dupatta-ms150-3p26-green,yes
alkaram-rts-shirt-trouser-dupatta-ms149-3p26-b-blue,Alkaram · Ladies Unstitched 3 piece,,Alkaram,Ladies Unstitched,"brand:Alkaram, gender:ladies, unstitched, pieces:3",FALSE,Title,Default Title,KJC-LU-ALK-10308,shopify,0,deny,manual,3990.00,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0623/6481/1444/files/MS-149.1-26-Blue-1.jpg?v=1768386304,1,Ladies Unstitched 3 piece,draft,,3 piece,,,Alkaram · Ladies Unstitched 3 piece,Ladies Unstitched 3 piece,Alkaram,https://alkaramstudio.com/products/rts-shirt-trouser-dupatta-ms149-3p26-b-blue,yes
alkaram-rts-shirt-trouser-dupatta-ms149-3p26-a-pink,Alkaram · Ladies Unstitched 3 piece,,Alkaram,Ladies Unstitched,"brand:Alkaram, gender:ladies, unstitched, pieces:3",FALSE,Title,Default Title,KJC-LU-ALK-10309,shopify,0,deny,manual,3990.00,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0623/6481/1444/files/MS-149.1-26-Pink-1.jpg?v=1768386325,1,Ladies Unstitched 3 piece,draft,,3 piece,,,Alkaram · Ladies Unstitched 3 piece,Ladies Unstitched 3 piece,Alkaram,https://alkaramstudio.com/products/rts-shirt-trouser-dupatta-ms149-3p26-a-pink,yes
alkaram-rts-shirt-trouser-dupatta-ms148-3p26-a-green,Alkaram · Ladies Unstitched 3 piece,,Alkaram,Ladies Unstitched,"brand:Alkaram, gender:ladies, unstitched, pieces:3",FALSE,Title,Default Title,KJC-LU-ALK-10310,shopify,0,deny,manual,3990.00,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0623/6481/1444/files/MS-148.1-26-Green-1.jpg?v=1768386279,1,Ladies Unstitched 3 piece,draft,,3 piece,,,Alkaram · Ladies Unstitched 3 piece,Ladies Unstitched 3 piece,Alkaram,https://alkaramstudio.com/products/rts-shirt-trouser-dupatta-ms148-3p26-a-green,yes
